point,time (s),d_4_x,d_4_y,e_5_x,e_5_y,e_6_x,e_6_y
0,0,-10,-12,-9,-19,0,-9
1,3,-3,-16,-4,-4,0,-11
2,6,-6,-16,-3,3,-1,-12
3,9,-12,-15,-5,12,-2,-16
4,12,-18,-28,-15,11,-5,-18
5,15,-23,-30,-24,10,-7,-18
6,18,-21,-22,-28,25,-9,-15
7,21,-18,-19,-38,38,-5,-13
8,24,-21,-18,-47,48,-3,-10
9,27,-25,-15,-57,67,-7,-9
10,30,-36,-26,-65,77,-15,-2
11,33,-37,-32,-70,95,-29,-1
12,36,-41,-21,-87,107,-36,11
13,39,-38,-22,-98,98,-49,5
14,42,-46,-33,-108,93,-63,20
15,45,-40,-39,-112,92,-77,28
16,48,-40,-35,-121,100,-91,30
17,51,-54,-35,-124,108,-98,46
18,54,-65,-45,-123,110,-164,70
19,57,-74,-46,-143,126,-185,89
20,60,-88,-56,-154,133,-206,117
21,63,-95,-42,-170,146,-199,100
22,66,-113,-61,-181,166,-200,88
23,69,-127,-75,-175,170,-211,71
24,72,-134,-77,-193,172,-213,66
25,75,-137,-78,-196,187,-261,42
26,78,-142,-82,-205,211,-286,12
27,81,-146,-96,-218,210,-288,0
28,84,-147,-97,-226,211,-329,-31
29,87,-160,-118,-244,218,-346,-50
30,90,-172,-120,-277,232,-348,-66
31,93,-179,-128,-325,249,-393,-106
32,96,-179,-148,-320,248,-398,-114
33,99,-185,-159,-325,243,-402,-124
34,102,-188,-165,-333,253,-408,-125
35,105,-188,-168,-310,256,-417,-124
36,108,-187,-170,-297,257,-421,-143
37,111,-182,-179,-286,276,-415,-155
38,114,-185,-200,-254,292,-416,-156
39,117,-195,-212,-236,328,-400,-127
40,120,-194,-210,-232,339,-384,-122
41,123,-196,-219,-252,360,-360,-129
42,126,-204,-223,-293,345,-351,-107
43,129,-208,-218,-293,279,-336,-98
44,132,-220,-230,-285,265,-337,-95
45,135,-227,-245,-286,262,-322,-94
46,138,-229,-242,-280,263,-305,-82
47,141,-233,-252,-279,260,-289,-90
48,144,-232,-257,-276,258,-273,-68
49,147,-240,-268,-278,245,-255,-80
50,150,-255,-270,-271,250,-242,-68
51,153,-262,-271,-264,237,-223,-70
52,156,-260,-273,-260,227,-210,-63
53,159,-267,-285,-252,226,-194,-58
54,162,-273,-288,-248,207,-176,-50
55,165,-285,-296,-246,215,-162,-33
56,168,-291,-300,-236,209,-144,-37
57,171,-303,-307,-234,193,-96,-25
58,174,-315,-299,-227,189,-86,-19
59,177,-325,-302,-218,180,-74,-9
60,180,-335,-307,-202,180,-62,0
61,183,-344,-301,-201,195,-49,15
62,186,-358,-303,-188,177,-36,10
63,189,-367,-302,-175,170,-15,20
64,192,-374,-300,-163,169,-13,-3
65,195,-389,-294,-153,152,-6,-11
66,198,-417,-281,-140,151,,
67,201,-414,-286,-130,146,,
68,204,-430,-290,-129,139,,
69,207,-437,-295,-130,130,,
70,210,-462,-278,-125,108,,
71,213,-475,-265,-112,100,,
72,216,-464,-253,-109,93,,
73,219,-464,-250,-110,88,,
74,222,-450,-258,-98,75,,
75,225,-455,-256,-91,73,,
76,228,-466,-249,-80,62,,
77,231,-452,-253,-73,67,,
78,234,-454,-248,-61,55,,
79,237,-456,-245,-53,77,,
80,240,-459,-244,-52,75,,
81,243,-446,-242,-38,98,,
82,246,-450,-235,-25,99,,
83,249,-433,-234,-7,125,,
84,252,-419,-242,0,125,,
85,255,-405,-225,5,122,,
86,258,-409,-219,1,125,,
87,261,-385,-221,2,130,,
88,264,-382,-225,-1,130,,
89,267,-375,-222,-1,120,,
90,270,-348,-219,-7,118,,
91,273,-330,-203,-5,113,,
92,276,-323,-205,-9,102,,
93,279,-299,-187,-1,96,,
94,282,-302,-177,8,90,,
95,285,-276,-171,11,92,,
96,288,-274,-178,12,100,,
97,291,-249,-159,11,105,,
98,294,-248,-153,13,115,,
99,297,-219,-136,13,125,,
100,300,-219,-147,-9,129,,
101,303,-192,-126,-11,132,,
102,306,-191,-124,27,133,,
103,309,-168,-127,35,130,,
104,312,-145,-115,28,122,,
105,315,-129,-119,13,108,,
106,318,-107,-105,4,95,,
107,321,-98,-104,15,85,,
108,324,-79,-94,14,76,,
109,327,-75,-102,23,84,,
110,330,-66,-103,9,60,,
111,333,-61,-112,6,52,,
112,336,-46,-113,-2,49,,
113,339,-35,-122,-14,45,,
114,342,-21,-109,-21,43,,
115,345,-13,-84,-22,32,,
116,348,-5,-61,-14,28,,
117,351,-8,-40,9,20,,
118,354,-7,-21,5,5,,
119,357,-15,-19,5,12,,
120,360,-19,-16,,,,
121,363,-17,-13,,,,
122,366,-15,-8,,,,
